LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
11.4066007,47.2362299,21,Bachgangweg,,,,,6080,,6c0b77620f8da36b
11.4097166,47.2382593,51,Bachgangweg,,,,,6080,,bc4a01439fb83ebc
11.4016443,47.2363343,1,Burgweg,,,,,6080,,ffdfe99ada1f0968
11.4005907,47.2367925,15,Burgweg,,,,,6080,,859e05ca87e751e2
11.4004554,47.2369399,21,Burgweg,,,,,6080,,5fc9979b6e4ce22d
11.4000741,47.2368197,23,Burgweg,,,,,6080,,b865165555caba59
11.3984104,47.2397008,52,Burgweg,,,,,6080,,b30328200a5f55b4
11.4022626,47.236681,1,Grillhofweg,,,,,6080,,1e3cb64b2eddd61f
11.4024187,47.2367736,3,Grillhofweg,,,,,6080,,ea7fc41fd3c13d39
11.4022412,47.2370718,5,Grillhofweg,,,,,6080,,7a916e46ce6b1564
11.4034923,47.2369477,6a,Grillhofweg,,,,,6080,,f96bacd03892f76b
11.4030915,47.2370521,6,Grillhofweg,,,,,6080,,88e20f6514517a1e
11.4041824,47.2372516,8,Grillhofweg,,,,,6080,,b51f1f8d368268a1
11.4045677,47.2370683,10,Grillhofweg,,,,,6080,,de73487465bc6169
11.4047673,47.2369487,12,Grillhofweg,,,,,6080,,a941b97ded526d86
11.4021948,47.2374252,15,Grillhofweg,,,,,6080,,9ea72a1425678d1e
11.4038044,47.2374344,16,Grillhofweg,,,,,6080,,fe40e0a213080dbc
11.4019476,47.2375975,17,Grillhofweg,,,,,6080,,ef640dda222ecb4e
11.4042493,47.2377554,18a,Grillhofweg,,,,,6080,,a176409f3fc4e51a
11.4044709,47.2376403,18b,Grillhofweg,,,,,6080,,ce55331f749b92d3
11.4046767,47.2375192,18c,Grillhofweg,,,,,6080,,c0af61f46552805e
11.4047777,47.2374708,18d,Grillhofweg,,,,,6080,,2b7676e359722b09
11.4040976,47.2378449,18,Grillhofweg,,,,,6080,,28e039e8cb07eebb
11.4016076,47.2378237,19,Grillhofweg,,,,,6080,,84fd5e63f94b7af3
11.4043161,47.2379683,20a,Grillhofweg,,,,,6080,,b3d11de9214f5d78
11.4047376,47.2377677,20b,Grillhofweg,,,,,6080,,8b56162b5ddc6773